iter	RMSE
0	8626.508429
1	8241.608239
2	7852.735724
3	7518.067562
4	7221.630115
5	6921.206028
6	6657.312352
7	6430.199572
8	6230.40825
9	6094.616215
10	5934.50631
11	5827.599841
12	5692.264923
13	5578.127122
14	5472.401323
15	5391.33065
16	5304.063538
17	5220.548839
18	5146.53478
19	5094.05535
20	5026.252077
21	4968.841963
22	4918.372061
23	4882.997872
24	4831.238093
25	4785.846623
26	4736.625196
27	4699.576411
28	4664.879198
29	4610.34679
30	4602.562718
31	4552.171417
32	4531.839747
33	4501.727288
34	4467.987349
35	4442.749762
36	4416.616638
37	4398.153041
38	4357.726553
39	4332.17077
